名稱,類別,公私立,縣市,經度,緯度
私立金山安樂園公墓,公墓,私立,新北市,0.7945267176868059,0.9780148821795807
大佛寺,骨灰(骸)存放設施,私立,新北市,0.794283145972725,0.9651029085334023
深坑區第一公墓,公墓,公立,新北市,0.793955418534276,0.8837457494357839
深坑區第六公墓,公墓,公立,新北市,0.7933538045936841,0.876145354814881
深坑區第三公墓,公墓,公立,新北市,0.7878251597524893,0.8837002501460958
金寶塔,骨灰(骸)存放設施,私立,新北市,0.786483818165108,0.9833497342928564
石門區第四公墓,公墓,公立,新北市,0.7819145437996575,0.9982891966963732
私立青潭花園公墓,公墓,私立,新北市,0.7757655508132625,0.858216097991509
新店區四十份公墓(示範公墓、樹葬、花葬),公墓,公立,新北市,0.7748840225265791,0.8581219990180546
新店四十份公墓懷恩堂、懷親堂,骨灰(骸)存放設施,公立,新北市,0.7748840225265791,0.8581219990180546
石門區第三公墓,公墓,公立,新北市,0.7691057700904657,1.0
內湖第3-1公墓,公墓,公立,臺北市,0.768126342542658,0.922062161268318
臺北市立富德靈骨樓,骨灰(骸)存放設施,公立,臺北市,0.7678109621316812,0.8798948989338033
吉樂寶塔,骨灰(骸)存放設施,私立,新北市,0.7663098534180499,0.8589035399143882
富德公墓,公墓,公立,臺北市,0.7627341129734955,0.8840988722415969
陽明山臻愛樓,骨灰(骸)存放設施,公立,臺北市,0.7611302968215647,0.9194163872544865
私立觀龍陵墓園,公墓,私立,新北市,0.7611302968215647,0.9194163872544865
慈恩園生命紀念館,骨灰(骸)存放設施,私立,臺北市,0.7611302968215647,0.9194163872544865
私立富貴山墓園,公墓,私立,新北市,0.7577897593368655,0.9050099431338979
私立天主教三德公墓,公墓,私立,新北市,0.7566910530994527,0.8927461531739194
私立天主教基隆區善終教友公墓,公墓,私立,新北市,0.7566910530994527,0.8927461531739194
臺北市立火化場,火化場,公立,臺北市,0.7561337473045963,0.8886342894789622
臺北市立第二殯儀館,殯儀館,公立,臺北市,0.7551668104657651,0.8891275440960699
烏來區烏來公墓,公墓,公立,新北市,0.754292205295492,0.831158234121709
懷仁聖殿,骨灰(骸)存放設施,私立,新北市,0.7511081576626448,0.9701543765751484
私立大福金座寶塔,骨灰(骸)存放設施,私立,新北市,0.7506011750199102,0.8964098526153064
私立長樂公墓,公墓,私立,新北市,0.74719749148055,0.9077955465491524
臺北市立第一殯儀館,殯儀館,公立,臺北市,0.7470195822996756,0.9079702960334426
私立玫瑰園公墓,公墓,私立,新北市,0.7465683718442337,0.9078019889264529
私立春秋墓園,公墓,私立,新北市,0.7445206605814677,0.8982145235567602
白沙灣安樂園公墓附設真龍殿寶塔,骨灰(骸)存放設施,私立,新北市,0.744461552597032,0.9748252611778354
私立台北花園公墓,公墓,私立,新北市,0.7443240241183933,0.8900878672400784
陽明山第一公墓暨靈骨塔,骨灰(骸)存放設施,公立,臺北市,0.7421914548581771,0.9399333457153956
私立龍泉墓園,公墓,私立,新北市,0.741366869213929,0.8855745792921172
私立龍泉墓園,公墓,私立,新北市,0.741366869213929,0.8855745792921172
三芝區第二公墓,公墓,公立,新北市,0.7410844969120453,0.9781912422581963
三芝區第四公墓,公墓,公立,新北市,0.7410844969120453,0.9781912422581963
新店區第五公墓,公墓,公立,新北市,0.7410844969120453,0.8585817834330585
三芝區示範公墓(附設納骨塔),公墓,公立,新北市,0.7410844969120453,0.9781912422581963
三芝區第七公墓,公墓,公立,新北市,0.7410844969120453,0.9781912422581963
三芝區第六公墓,公墓,公立,新北市,0.7410844969120453,0.9781912422581963
三芝區第五公墓,公墓,公立,新北市,0.7410844969120453,0.9781912422581963
新店區第七公墓,公墓,公立,新北市,0.7410844969120453,0.8585817834330585
新店區第六公墓,公墓,公立,新北市,0.7410844969120453,0.8585817834330585
私立北海明山墓園,公墓,私立,新北市,0.7410844969120453,0.9781912422581963
私立白沙灣安樂園公墓,公墓,私立,新北市,0.7410844969120453,0.9781912422581963
私立國寶北海福座墓園,公墓,私立,新北市,0.7410844969120453,0.9781912422581963
新店區第三公墓,公墓,公立,新北市,0.7410844969120453,0.8585817834330585
私立懷恩聖地公墓,公墓,私立,新北市,0.7410844969120453,0.9781912422581963
私立新店安樂墓園,公墓,私立,新北市,0.7407664257284715,0.8924349058205633
私立青潭花園公墓附設納骨塔,骨灰(骸)存放設施,私立,新北市,0.7398599082246092,0.9209520889436216
私立北海明山墓園附設萬代福紀念特區,骨灰(骸)存放設施,私立,新北市,0.729459243874277,0.972998847212991
白鶴山松柏長福園,公墓,私立,新北市,0.7285073127110795,0.880431991876419
陽明山第1公墓(公墓已禁葬),公墓,公立,臺北市,0.7277172554933788,0.9376509322322115
三芝示範公墓納骨堂,骨灰(骸)存放設施,公立,新北市,0.7265983589048481,0.9864887423679312
私立國寶北海福座墓園附設納骨塔,骨灰(骸)存放設施,私立,新北市,0.7264693162259587,0.965449186313333
中和區第一公墓,公墓,公立,新北市,0.7243750208487314,0.8805088574905919
中和區第五公墓,公墓,公立,新北市,0.7243750208487314,0.8805088574905919
中和區第二公墓,公墓,公立,新北市,0.7243750208487314,0.8805088574905919
中和納骨堂,骨灰(骸)存放設施,公立,新北市,0.721918001424439,0.8736328276674742
淡水區第十一公墓,公墓,公立,新北市,0.721203438563097,0.9497394492647439
