出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1121012","11209","1439","雋揚","建材營造","4941","7761","60889","-36.3355237727097","-91.88523378606973","147441","455448","-67.62725931390631","本公司截至9月底營收較去年同期減少，係因本期認列交屋金額較低所致。"
"1121012","11209","1440","南紡","紡織纖維","1477426","1590203","1759926","-7.091987626736964","-16.05181126933746","15017500","16492870","-8.945501904762482","-"
"1121012","11209","1441","大東","紡織纖維","74396","105790","130954","-29.675772757349467","-43.1892114788399","874366","1229761","-28.899517873798242","-"
"1121012","11209","1442","名軒","建材營造","145188","97446","5668","48.993288590604024","2461.5384615384614","1030850","594319","73.4506216358555","本月認收10戶，去年同期僅認收車位；本年累計認收72戶，去年累計認收42戶，故兩期差異大。"
"1121012","11209","1443","立益物流","其他","91268","75942","77399","20.18119090885149","17.918836160673912","570375","645650","-11.658793463951056","-"
"1121012","11209","1444","力麗","紡織纖維","683136","745675","1056962","-8.386897777181748","-35.36796970941245","6554198","9910712","-33.86753645953994","-"
"1121012","11209","1445","大宇","紡織纖維","86848","104160","122975","-16.62058371735791","-29.377515755234803","1051615","1088273","-3.368456260515514","-"
"1121012","11209","1446","宏和","紡織纖維","7358","9536","12108","-22.83976510067114","-39.23026098447308","98488","110148","-10.585757344663543","-"
"1121012","11209","1447","力鵬","紡織纖維","1328742","1938288","1396651","-31.447648646640747","-4.86227411142798","22543324","21383716","5.42285541016351","-"
"1121012","11209","1449","佳和","紡織纖維","236451","333084","240703","-29.011600677306625","-1.766492316256964","2034578","1971159","3.2173457341594465","-"
"1121012","11209","1451","年興","紡織纖維","461901","537506","724042","-14.065889497047475","-36.205220139163195","4886282","6853706","-28.7059876802419","-"
"1121012","11209","1452","宏益","紡織纖維","93126","104627","133017","-10.992382463417664","-29.989399851146846","834721","1428859","-41.58128968638613","-"
"1121012","11209","1453","大將","建材營造","57","57","28514","0.0","-99.80009819737673","513","248384","-99.79346495748518","本年營收較去年同期大幅減少,係因無出售建案房屋所致."
